variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9422,0.0245,0.9422,0.0246,0.9422,0.0246,0.8851,0.0484,0.0711,0.0382,0.9556,0.0126,0.9289,0.0382
CAAA + Contrastive,0.9422,0.0191,0.9422,0.0192,0.9422,0.0192,0.8856,0.0372,0.0800,0.0327,0.9644,0.0063,0.9200,0.0327
CAAA (clamp loss),0.9422,0.0245,0.9422,0.0246,0.9422,0.0246,0.8851,0.0484,0.0711,0.0382,0.9556,0.0126,0.9289,0.0382
CAAA (full penalty),0.8511,0.0031,0.8508,0.0031,0.8508,0.0031,0.7049,0.0075,0.1778,0.0333,0.8800,0.0327,0.8222,0.0333
No Context Features,0.9111,0.0350,0.9109,0.0351,0.9109,0.0351,0.8251,0.0687,0.1067,0.0499,0.9289,0.0537,0.8933,0.0499
No Context Loss,0.9444,0.0113,0.9444,0.0113,0.9444,0.0113,0.8898,0.0229,0.0400,0.0218,0.9289,0.0166,0.9600,0.0218
No Behavioral,0.9467,0.0094,0.9467,0.0094,0.9467,0.0094,0.8935,0.0190,0.0578,0.0063,0.9511,0.0166,0.9422,0.0063
Context Only,0.8489,0.0083,0.8482,0.0089,0.8482,0.0089,0.7035,0.0120,0.1422,0.0600,0.8400,0.0680,0.8578,0.0600
Statistical Only,0.9178,0.0083,0.9177,0.0084,0.9177,0.0084,0.8371,0.0146,0.0667,0.0189,0.9022,0.0350,0.9333,0.0189
Stat + Service-Level,0.9222,0.0137,0.9222,0.0137,0.9222,0.0137,0.8450,0.0273,0.0800,0.0218,0.9244,0.0227,0.9200,0.0218
Baseline RF,0.9489,0.0227,0.9489,0.0227,0.9489,0.0227,0.8981,0.0456,0.0489,0.0350,0.9467,0.0109,0.9511,0.0350
XGBoost,0.9467,0.0144,0.9467,0.0144,0.9467,0.0144,0.8934,0.0288,0.0533,0.0109,0.9467,0.0189,0.9467,0.0109
LightGBM,0.9400,0.0144,0.9400,0.0144,0.9400,0.0144,0.8808,0.0291,0.0533,0.0189,0.9333,0.0288,0.9467,0.0189
CatBoost,0.9467,0.0109,0.9467,0.0109,0.9467,0.0109,0.8937,0.0213,0.0444,0.0063,0.9378,0.0227,0.9556,0.0063
CatBoost (with context),0.9556,0.0191,0.9556,0.0191,0.9556,0.0191,0.9112,0.0383,0.0400,0.0218,0.9511,0.0166,0.9600,0.0218
CAAA+CatBoost Hybrid,0.9444,0.0220,0.9444,0.0220,0.9444,0.0220,0.8892,0.0438,0.0533,0.0288,0.9422,0.0227,0.9467,0.0288
CAAA (pretrained),0.9356,0.0175,0.9355,0.0175,0.9355,0.0175,0.8723,0.0342,0.0889,0.0274,0.9600,0.0109,0.9111,0.0274
Rule-Based,0.5978,0.0582,0.5525,0.0712,0.5525,0.0712,0.2454,0.1338,0.0889,0.0350,0.2844,0.0824,0.9111,0.0350
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
