variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.8940,0.0490,0.8933,0.0496,0.8933,0.0496,0.7967,0.0948,0.1280,0.1100,0.9160,0.0550,0.8720,0.1100
CAAA + Contrastive,0.8980,0.0540,0.8976,0.0541,0.8976,0.0541,0.8009,0.1075,0.1200,0.0876,0.9160,0.0605,0.8800,0.0876
CAAA (clamp loss),0.8940,0.0490,0.8933,0.0496,0.8933,0.0496,0.7967,0.0948,0.1280,0.1100,0.9160,0.0550,0.8720,0.1100
CAAA (full penalty),0.8540,0.0639,0.8518,0.0654,0.8518,0.0654,0.7246,0.1212,0.2200,0.1217,0.9280,0.0796,0.7800,0.1217
No Context Features,0.8820,0.0384,0.8813,0.0388,0.8813,0.0388,0.7718,0.0738,0.1360,0.0950,0.9000,0.0600,0.8640,0.0950
No Context Loss,0.8920,0.0538,0.8912,0.0546,0.8912,0.0546,0.7932,0.1040,0.0960,0.0983,0.8800,0.0894,0.9040,0.0983
No Behavioral,0.9040,0.0332,0.9035,0.0335,0.9035,0.0335,0.8151,0.0642,0.1200,0.0759,0.9280,0.0640,0.8800,0.0759
Context Only,0.7780,0.0442,0.7766,0.0458,0.7766,0.0458,0.5613,0.0844,0.2240,0.0916,0.7800,0.0785,0.7760,0.0916
Statistical Only,0.8500,0.0422,0.8495,0.0426,0.8495,0.0426,0.7035,0.0819,0.1240,0.0488,0.8240,0.0720,0.8760,0.0488
Stat + Service-Level,0.9060,0.0323,0.9058,0.0324,0.9058,0.0324,0.8145,0.0642,0.0960,0.0599,0.9080,0.0402,0.9040,0.0599
Baseline RF,0.9040,0.0344,0.9038,0.0346,0.9038,0.0346,0.8116,0.0683,0.0640,0.0445,0.8720,0.0531,0.9360,0.0445
XGBoost,0.9000,0.0482,0.8999,0.0482,0.8999,0.0482,0.8018,0.0966,0.0800,0.0566,0.8800,0.0537,0.9200,0.0566
LightGBM,0.9240,0.0472,0.9239,0.0472,0.9239,0.0472,0.8508,0.0945,0.0680,0.0621,0.9160,0.0605,0.9320,0.0621
CatBoost,0.9140,0.0358,0.9138,0.0358,0.9138,0.0358,0.8313,0.0722,0.0520,0.0475,0.8800,0.0438,0.9480,0.0475
CatBoost (with context),0.9300,0.0361,0.9297,0.0364,0.9297,0.0364,0.8655,0.0685,0.0360,0.0418,0.8960,0.0720,0.9640,0.0418
CAAA+CatBoost Hybrid,0.8980,0.0433,0.8977,0.0435,0.8977,0.0435,0.8005,0.0856,0.1200,0.0800,0.9160,0.0488,0.8800,0.0800
Rule-Based,0.5040,0.0307,0.4436,0.0337,0.4436,0.0337,0.0121,0.0823,0.1680,0.0466,0.1760,0.0367,0.8320,0.0466
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
