variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.8250,0.1205,0.8145,0.1392,0.8145,0.1392,0.6799,0.2190,0.2333,0.2380,0.8833,0.1500,0.7667,0.2380
CAAA + Contrastive,0.7833,0.1500,0.7552,0.1956,0.7552,0.1956,0.5974,0.2886,0.2167,0.2363,0.7833,0.3167,0.7833,0.2363
CAAA (clamp loss),0.8250,0.1205,0.8145,0.1392,0.8145,0.1392,0.6799,0.2190,0.2333,0.2380,0.8833,0.1500,0.7667,0.2380
CAAA (full penalty),0.8083,0.1627,0.7894,0.1987,0.7894,0.1987,0.6294,0.3264,0.3000,0.2963,0.9167,0.1118,0.7000,0.2963
No Context Features,0.8083,0.1397,0.8041,0.1445,0.8041,0.1445,0.6311,0.2795,0.1833,0.1740,0.8000,0.1944,0.8167,0.1740
No Context Loss,0.8417,0.0946,0.8387,0.0965,0.8387,0.0965,0.7034,0.1847,0.1500,0.1384,0.8333,0.1667,0.8500,0.1384
No Behavioral,0.8417,0.1017,0.8391,0.1034,0.8391,0.1034,0.7010,0.2022,0.1500,0.1384,0.8333,0.1667,0.8500,0.1384
Context Only,0.5583,0.1239,0.5132,0.1445,0.5132,0.1445,0.1386,0.2918,0.5667,0.3091,0.6833,0.2734,0.4333,0.3091
Statistical Only,0.8833,0.1404,0.8804,0.1464,0.8804,0.1464,0.7728,0.2763,0.1000,0.1106,0.8667,0.2082,0.9000,0.1106
Stat + Service-Level,0.8500,0.1333,0.8454,0.1403,0.8454,0.1403,0.7141,0.2602,0.1333,0.1633,0.8333,0.1972,0.8667,0.1633
Baseline RF,0.9167,0.0527,0.9158,0.0535,0.9158,0.0535,0.8445,0.0994,0.1000,0.1106,0.9333,0.0816,0.9000,0.1106
XGBoost,0.9417,0.0534,0.9414,0.0535,0.9414,0.0535,0.8892,0.1041,0.0667,0.0816,0.9500,0.0764,0.9333,0.0816
LightGBM,0.9333,0.0898,0.9311,0.0938,0.9311,0.0938,0.8796,0.1596,0.1000,0.1700,0.9667,0.0667,0.9000,0.1700
CatBoost,0.9417,0.0651,0.9410,0.0660,0.9410,0.0660,0.8909,0.1224,0.0167,0.0500,0.9000,0.1106,0.9833,0.0500
CAAA+CatBoost Hybrid,0.8417,0.0692,0.8385,0.0719,0.8385,0.0719,0.7053,0.1322,0.1667,0.1291,0.8500,0.1572,0.8333,0.1291
Rule-Based,0.5583,0.1057,0.5270,0.1161,0.5270,0.1161,0.1397,0.2398,0.6500,0.1893,0.7667,0.1528,0.3500,0.1893
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
