variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9333,0.0726,0.9318,0.0746,0.9318,0.0746,0.8812,0.1281,0.1000,0.1333,0.9667,0.1000,0.9000,0.1333
CAAA + Contrastive,0.9500,0.0553,0.9493,0.0564,0.9493,0.0564,0.9088,0.0992,0.0833,0.1118,0.9833,0.0500,0.9167,0.1118
CAAA (clamp loss),0.9333,0.0726,0.9318,0.0746,0.9318,0.0746,0.8812,0.1281,0.1000,0.1333,0.9667,0.1000,0.9000,0.1333
CAAA (full penalty),0.9167,0.0527,0.9154,0.0542,0.9154,0.0542,0.8485,0.0927,0.1333,0.1247,0.9667,0.0667,0.8667,0.1247
No Context Features,0.9000,0.0726,0.8976,0.0765,0.8976,0.0765,0.8177,0.1277,0.1167,0.1067,0.9167,0.1537,0.8833,0.1067
No Context Loss,0.9250,0.0870,0.9223,0.0914,0.9223,0.0914,0.8682,0.1498,0.1000,0.1333,0.9500,0.1500,0.9000,0.1333
No Behavioral,0.9083,0.0786,0.9055,0.0829,0.9055,0.0829,0.8372,0.1346,0.1333,0.1247,0.9500,0.1500,0.8667,0.1247
Context Only,0.8417,0.1017,0.8354,0.1065,0.8354,0.1065,0.7182,0.1866,0.2167,0.1979,0.9000,0.1700,0.7833,0.1979
Statistical Only,0.9167,0.0745,0.9142,0.0788,0.9142,0.0788,0.8510,0.1274,0.0667,0.0816,0.9000,0.1700,0.9333,0.0816
Stat + Service-Level,0.9417,0.0837,0.9394,0.0882,0.9394,0.0882,0.8975,0.1440,0.0667,0.1106,0.9500,0.1500,0.9333,0.1106
Baseline RF,0.9750,0.0750,0.9733,0.0800,0.9733,0.0800,0.9577,0.1268,0.0000,0.0000,0.9500,0.1500,1.0000,0.0000
XGBoost,0.9417,0.0990,0.9373,0.1107,0.9373,0.1107,0.8983,0.1655,0.0500,0.0764,0.9333,0.2000,0.9500,0.0764
LightGBM,0.9083,0.1017,0.9064,0.1047,0.9064,0.1047,0.8263,0.1913,0.0667,0.0816,0.8833,0.1675,0.9333,0.0816
CatBoost,0.9750,0.0750,0.9733,0.0800,0.9733,0.0800,0.9577,0.1268,0.0000,0.0000,0.9500,0.1500,1.0000,0.0000
CatBoost (with context),0.9750,0.0750,0.9733,0.0800,0.9733,0.0800,0.9577,0.1268,0.0000,0.0000,0.9500,0.1500,1.0000,0.0000
CAAA+CatBoost Hybrid,0.9333,0.0624,0.9321,0.0640,0.9321,0.0640,0.8795,0.1106,0.1167,0.1302,0.9833,0.0500,0.8833,0.1302
Rule-Based,0.6500,0.0624,0.5950,0.0901,0.5950,0.0901,0.4150,0.1041,0.7000,0.1247,1.0000,0.0000,0.3000,0.1247
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
