variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9207,0.0176,0.9207,0.0177,0.9207,0.0177,0.8419,0.0349,0.0814,0.0230,0.9229,0.0268,0.9186,0.0230
CAAA + Contrastive,0.9193,0.0221,0.9193,0.0221,0.9193,0.0221,0.8393,0.0440,0.0829,0.0339,0.9215,0.0242,0.9171,0.0339
CAAA (clamp loss),0.9207,0.0176,0.9207,0.0177,0.9207,0.0177,0.8419,0.0349,0.0814,0.0230,0.9229,0.0268,0.9186,0.0230
CAAA (full penalty),0.8522,0.0306,0.8519,0.0309,0.8519,0.0309,0.7065,0.0601,0.1772,0.0510,0.8815,0.0283,0.8228,0.0510
No Context Features,0.8966,0.0166,0.8965,0.0166,0.8965,0.0166,0.7943,0.0326,0.1100,0.0294,0.9032,0.0315,0.8900,0.0294
No Context Loss,0.9149,0.0176,0.9149,0.0176,0.9149,0.0176,0.8308,0.0350,0.0740,0.0297,0.9039,0.0257,0.9260,0.0297
No Behavioral,0.9193,0.0158,0.9193,0.0158,0.9193,0.0158,0.8396,0.0313,0.0923,0.0294,0.9309,0.0230,0.9077,0.0294
Context Only,0.8214,0.0186,0.8211,0.0185,0.8211,0.0185,0.6446,0.0378,0.1996,0.0349,0.8423,0.0376,0.8004,0.0349
Statistical Only,0.8441,0.0155,0.8439,0.0156,0.8439,0.0156,0.6894,0.0300,0.1575,0.0387,0.8456,0.0305,0.8425,0.0387
Stat + Service-Level,0.8912,0.0235,0.8910,0.0236,0.8910,0.0236,0.7841,0.0454,0.0863,0.0256,0.8687,0.0417,0.9137,0.0256
Baseline RF,0.9098,0.0202,0.9098,0.0202,0.9098,0.0202,0.8198,0.0405,0.0876,0.0254,0.9073,0.0167,0.9124,0.0254
XGBoost,0.9166,0.0168,0.9166,0.0168,0.9166,0.0168,0.8334,0.0336,0.0822,0.0242,0.9154,0.0136,0.9178,0.0242
LightGBM,0.9180,0.0162,0.9180,0.0162,0.9180,0.0162,0.8362,0.0325,0.0788,0.0188,0.9147,0.0207,0.9212,0.0188
CatBoost,0.9115,0.0235,0.9115,0.0235,0.9115,0.0235,0.8234,0.0470,0.0788,0.0286,0.9018,0.0236,0.9212,0.0286
CatBoost (with context),0.9380,0.0145,0.9379,0.0146,0.9379,0.0146,0.8771,0.0290,0.0394,0.0174,0.9154,0.0193,0.9606,0.0174
CAAA+CatBoost Hybrid,0.9241,0.0161,0.9241,0.0161,0.9241,0.0161,0.8483,0.0320,0.0760,0.0163,0.9242,0.0223,0.9240,0.0163
CAAA (pretrained),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CAAA (temporal),0.9159,0.0255,0.9159,0.0256,0.9159,0.0256,0.8325,0.0510,0.0916,0.0380,0.9235,0.0220,0.9084,0.0380
Rule-Based,0.5868,0.0249,0.5867,0.0249,0.5867,0.0249,0.1736,0.0497,0.4222,0.0266,0.5958,0.0280,0.5778,0.0266
Naive,0.5007,0.0016,0.3341,0.0017,0.3336,0.0007,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
