variant,RE1_OB_f1_mean,RE1_OB_mcc_mean,RE1_OB_fp_rate_mean,RE1_OB_fault_recall_mean,RE1_OB_fp_reduction_mean,RE1_SS_f1_mean,RE1_SS_mcc_mean,RE1_SS_fp_rate_mean,RE1_SS_fault_recall_mean,RE1_SS_fp_reduction_mean,RE1_TT_f1_mean,RE1_TT_mcc_mean,RE1_TT_fp_rate_mean,RE1_TT_fault_recall_mean,RE1_TT_fp_reduction_mean,RE2_OB_f1_mean,RE2_OB_mcc_mean,RE2_OB_fp_rate_mean,RE2_OB_fault_recall_mean,RE2_OB_fp_reduction_mean,RE2_SS_f1_mean,RE2_SS_mcc_mean,RE2_SS_fp_rate_mean,RE2_SS_fault_recall_mean,RE2_SS_fp_reduction_mean,RE2_TT_f1_mean,RE2_TT_mcc_mean,RE2_TT_fp_rate_mean,RE2_TT_fault_recall_mean,RE2_TT_fp_reduction_mean,RE3_OB_f1_mean,RE3_OB_mcc_mean,RE3_OB_fp_rate_mean,RE3_OB_fault_recall_mean,RE3_OB_fp_reduction_mean,RE3_SS_f1_mean,RE3_SS_mcc_mean,RE3_SS_fp_rate_mean,RE3_SS_fault_recall_mean,RE3_SS_fp_reduction_mean,RE3_TT_f1_mean,RE3_TT_mcc_mean,RE3_TT_fp_rate_mean,RE3_TT_fault_recall_mean,RE3_TT_fp_reduction_mean,Avg_f1_mean,Avg_mcc_mean,Avg_fp_rate_mean,Avg_fault_recall_mean,Avg_fp_reduction_mean
Full CAAA,0.9639,0.9299,0.0240,0.9520,0.9760,0.9599,0.9229,0.0600,0.9800,0.9400,0.8933,0.7967,0.1280,0.9160,0.8720,0.9403,0.8856,0.0386,0.9196,0.9614,0.9021,0.8129,0.1278,0.9333,0.8722,0.9132,0.8361,0.0833,0.9111,0.9167,0.8145,0.6799,0.2333,0.8833,0.7667,0.9405,0.8950,0.0833,0.9667,0.9167,1.0000,1.0000,0.0000,1.0000,1.0000,0.9253,0.8621,0.0865,0.9402,0.9135
CAAA + Contrastive,0.9659,0.9342,0.0240,0.9560,0.9760,0.9660,0.9340,0.0440,0.9760,0.9560,0.8997,0.8049,0.1200,0.9200,0.8800,0.9295,0.8631,0.0494,0.9085,0.9506,0.9081,0.8209,0.1333,0.9500,0.8667,0.9190,0.8457,0.0944,0.9333,0.9056,0.7552,0.5974,0.2167,0.7833,0.7833,0.9493,0.9088,0.0833,0.9833,0.9167,1.0000,1.0000,0.0000,1.0000,1.0000,0.9214,0.8566,0.0850,0.9345,0.9150
CAAA (clamp loss),0.9639,0.9299,0.0240,0.9520,0.9760,0.9599,0.9229,0.0600,0.9800,0.9400,0.8933,0.7967,0.1280,0.9160,0.8720,0.9403,0.8856,0.0386,0.9196,0.9614,0.9021,0.8129,0.1278,0.9333,0.8722,0.9132,0.8361,0.0833,0.9111,0.9167,0.8145,0.6799,0.2333,0.8833,0.7667,0.9405,0.8950,0.0833,0.9667,0.9167,1.0000,1.0000,0.0000,1.0000,1.0000,0.9253,0.8621,0.0865,0.9402,0.9135
CAAA (full penalty),0.8713,0.7529,0.1960,0.9400,0.8040,0.9215,0.8505,0.0640,0.9080,0.9360,0.8574,0.7376,0.2160,0.9360,0.7840,0.9157,0.8378,0.1035,0.9357,0.8965,0.8932,0.8016,0.1833,0.9722,0.8167,0.9126,0.8387,0.1389,0.9667,0.8611,0.7894,0.6294,0.3000,0.9167,0.7000,0.9154,0.8485,0.1333,0.9667,0.8667,1.0000,1.0000,0.0000,1.0000,1.0000,0.8974,0.8108,0.1483,0.9491,0.8517
No Context Features,0.9439,0.8900,0.0480,0.9360,0.9520,0.9459,0.8938,0.0680,0.9600,0.9320,0.8813,0.7718,0.1360,0.9000,0.8640,0.9106,0.8242,0.0930,0.9132,0.9070,0.8910,0.7900,0.1444,0.9278,0.8556,0.9104,0.8312,0.1056,0.9278,0.8944,0.8041,0.6311,0.1833,0.8000,0.8167,0.8976,0.8177,0.1167,0.9167,0.8833,1.0000,1.0000,0.0000,1.0000,1.0000,0.9094,0.8278,0.0994,0.9202,0.9006
No Context Loss,0.9519,0.9066,0.0400,0.9440,0.9600,0.9580,0.9172,0.0440,0.9600,0.9560,0.8913,0.7927,0.0920,0.8760,0.9080,0.9485,0.9011,0.0275,0.9243,0.9725,0.9079,0.8237,0.1278,0.9444,0.8722,0.9245,0.8562,0.0889,0.9389,0.9111,0.8387,0.7034,0.1500,0.8333,0.8500,0.9310,0.8820,0.0833,0.9500,0.9167,1.0000,1.0000,0.0000,1.0000,1.0000,0.9280,0.8648,0.0726,0.9301,0.9274
No Behavioral,0.9578,0.9194,0.0400,0.9560,0.9600,0.9580,0.9178,0.0600,0.9760,0.9400,0.9035,0.8156,0.1240,0.9320,0.8760,0.9349,0.8740,0.0550,0.9246,0.9450,0.9052,0.8151,0.1167,0.9278,0.8833,0.9387,0.8805,0.0722,0.9500,0.9278,0.8391,0.7010,0.1500,0.8333,0.8500,0.9055,0.8372,0.1333,0.9500,0.8667,1.0000,1.0000,0.0000,1.0000,1.0000,0.9270,0.8623,0.0835,0.9389,0.9165
Context Only,0.8716,0.7496,0.1240,0.8680,0.8760,0.9580,0.9173,0.0480,0.9640,0.9520,0.7766,0.5613,0.2240,0.7800,0.7760,0.8858,0.7784,0.1155,0.8874,0.8845,0.7583,0.5334,0.2833,0.8056,0.7167,0.6581,0.4149,0.5333,0.8944,0.4667,0.5132,0.1386,0.5667,0.6833,0.4333,0.8445,0.7303,0.2333,0.9333,0.7667,0.8403,0.6938,0.1333,0.8167,0.8667,0.7896,0.6131,0.2513,0.8481,0.7487
Statistical Only,0.9458,0.8953,0.0560,0.9480,0.9440,0.9318,0.8683,0.1000,0.9640,0.9000,0.8554,0.7169,0.1080,0.8200,0.8920,0.8889,0.7808,0.1035,0.8816,0.8965,0.8292,0.6720,0.1889,0.8500,0.8111,0.7475,0.5079,0.2222,0.7222,0.7778,0.8804,0.7728,0.1000,0.8667,0.9000,0.9142,0.8510,0.0500,0.8833,0.9500,0.9745,0.9552,0.0500,1.0000,0.9500,0.8853,0.7800,0.1087,0.8818,0.8913
Stat + Service-Level,0.9314,0.8702,0.0640,0.9280,0.9360,0.9559,0.9140,0.0640,0.9760,0.9360,0.9038,0.8108,0.0960,0.9040,0.9040,0.9080,0.8179,0.0819,0.8980,0.9181,0.8769,0.7656,0.1278,0.8833,0.8722,0.8968,0.8007,0.0889,0.8833,0.9111,0.8454,0.7141,0.1333,0.8333,0.8667,0.9394,0.8975,0.0667,0.9500,0.9333,1.0000,1.0000,0.0000,1.0000,1.0000,0.9175,0.8434,0.0803,0.9173,0.9197
