variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9350,0.0146,0.9349,0.0146,0.9349,0.0146,0.8736,0.0286,0.0875,0.0451,0.9575,0.0388,0.9125,0.0451
CAAA + Contrastive,0.9313,0.0161,0.9311,0.0161,0.9311,0.0161,0.8655,0.0312,0.0825,0.0488,0.9450,0.0350,0.9175,0.0488
CAAA (clamp loss),0.9375,0.0244,0.9374,0.0244,0.9374,0.0244,0.8776,0.0481,0.0650,0.0421,0.9400,0.0490,0.9350,0.0421
CAAA (full penalty),0.9050,0.0281,0.9042,0.0285,0.9042,0.0285,0.8214,0.0522,0.1750,0.0500,0.9850,0.0200,0.8250,0.0500
No Context Features,0.8775,0.0300,0.8771,0.0300,0.8771,0.0300,0.7607,0.0611,0.1175,0.0791,0.8725,0.0530,0.8825,0.0791
No Context Loss,0.9400,0.0184,0.9399,0.0184,0.9399,0.0184,0.8822,0.0355,0.0525,0.0284,0.9325,0.0475,0.9475,0.0284
No Behavioral,0.9287,0.0316,0.9286,0.0318,0.9286,0.0318,0.8607,0.0618,0.0900,0.0477,0.9475,0.0530,0.9100,0.0477
Context Only,0.7675,0.0412,0.7671,0.0408,0.7671,0.0408,0.5378,0.0851,0.2450,0.0384,0.7800,0.0781,0.7550,0.0384
Statistical Only,0.8988,0.0393,0.8982,0.0398,0.8982,0.0398,0.8041,0.0762,0.0550,0.0600,0.8525,0.0607,0.9450,0.0600
Stat + Service-Level,0.8850,0.0330,0.8844,0.0334,0.8844,0.0334,0.7765,0.0639,0.0900,0.0808,0.8600,0.0550,0.9100,0.0808
Baseline RF,0.9413,0.0237,0.9411,0.0239,0.9411,0.0239,0.8855,0.0451,0.0375,0.0340,0.9200,0.0510,0.9625,0.0340
XGBoost,0.9363,0.0288,0.9362,0.0288,0.9362,0.0288,0.8737,0.0575,0.0575,0.0297,0.9300,0.0458,0.9425,0.0297
LightGBM,0.9413,0.0217,0.9412,0.0217,0.9412,0.0217,0.8840,0.0435,0.0575,0.0251,0.9400,0.0450,0.9425,0.0251
CatBoost,0.9450,0.0187,0.9450,0.0187,0.9450,0.0187,0.8910,0.0374,0.0525,0.0236,0.9425,0.0354,0.9475,0.0236
CAAA+CatBoost Hybrid,0.9338,0.0168,0.9337,0.0168,0.9337,0.0168,0.8683,0.0335,0.0525,0.0175,0.9200,0.0292,0.9475,0.0175
Rule-Based,0.2350,0.0374,0.2342,0.0381,0.2342,0.0381,-0.5312,0.0759,0.7625,0.0321,0.2325,0.0623,0.2375,0.0321
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
