total_samples,variant,accuracy_mean,accuracy_std,f1_mean,f1_std
200,CatBoost (no context),0.8917,0.0717,0.8915,0.0719
200,CatBoost (with context),0.9083,0.0236,0.9083,0.0236
200,Full CAAA,0.9500,0.0408,0.9499,0.0409
200,LightGBM,0.9000,0.0612,0.8999,0.0613
200,No Context,0.9000,0.0408,0.8995,0.0410
200,XGBoost,0.9000,0.0540,0.8998,0.0541
500,CatBoost (no context),0.9133,0.0170,0.9132,0.0171
500,CatBoost (with context),0.9533,0.0125,0.9533,0.0125
500,Full CAAA,0.9367,0.0125,0.9365,0.0126
500,LightGBM,0.9067,0.0340,0.9066,0.0339
500,No Context,0.8867,0.0287,0.8866,0.0287
500,XGBoost,0.9133,0.0189,0.9132,0.0189
1000,CatBoost (no context),0.9283,0.0103,0.9282,0.0102
1000,CatBoost (with context),0.9583,0.0103,0.9583,0.0103
1000,Full CAAA,0.9483,0.0047,0.9483,0.0047
1000,LightGBM,0.9283,0.0103,0.9282,0.0102
1000,No Context,0.9067,0.0201,0.9066,0.0202
1000,XGBoost,0.9383,0.0103,0.9382,0.0102
2000,CatBoost (no context),0.9350,0.0124,0.9350,0.0124
2000,CatBoost (with context),0.9633,0.0072,0.9633,0.0072
2000,Full CAAA,0.9567,0.0085,0.9567,0.0085
2000,LightGBM,0.9333,0.0133,0.9333,0.0133
2000,No Context,0.9192,0.0279,0.9189,0.0282
2000,XGBoost,0.9392,0.0133,0.9392,0.0133
5000,CatBoost (no context),0.9453,0.0068,0.9453,0.0068
5000,CatBoost (with context),0.9640,0.0057,0.9640,0.0057
5000,Full CAAA,0.9610,0.0029,0.9610,0.0029
5000,LightGBM,0.9463,0.0060,0.9463,0.0060
5000,No Context,0.9393,0.0075,0.9393,0.0075
5000,XGBoost,0.9447,0.0048,0.9446,0.0048
10000,CatBoost (no context),0.9483,0.0026,0.9483,0.0026
10000,CatBoost (with context),0.9645,0.0016,0.9645,0.0016
10000,Full CAAA,0.9623,0.0035,0.9623,0.0035
10000,LightGBM,0.9475,0.0025,0.9475,0.0025
10000,No Context,0.9483,0.0002,0.9483,0.0002
10000,XGBoost,0.9495,0.0008,0.9495,0.0008
20000,CatBoost (no context),0.9471,0.0031,0.9470,0.0031
20000,CatBoost (with context),0.9657,0.0023,0.9657,0.0023
20000,Full CAAA,0.9664,0.0017,0.9664,0.0017
20000,LightGBM,0.9487,0.0047,0.9487,0.0047
20000,No Context,0.9546,0.0029,0.9546,0.0029
20000,XGBoost,0.9505,0.0041,0.9505,0.0041
40000,CatBoost (no context),0.9548,0.0010,0.9548,0.0010
40000,CatBoost (with context),0.9698,0.0006,0.9698,0.0006
40000,Full CAAA,0.9714,0.0010,0.9714,0.0010
40000,LightGBM,0.9555,0.0018,0.9554,0.0018
40000,No Context,0.9595,0.0009,0.9594,0.0009
40000,XGBoost,0.9560,0.0018,0.9560,0.0018
